,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2008,1,1,0,0,0,0,0,1,-18.15,0,0,0,163.30123276,-14.15,820,70,0.275590568781,255,6
1,2008,1,1,1,0,0,0,0,0,-18.15,0,0,0,159.42643749,-14.15,820,71,0.275590568781,254,5
2,2008,1,1,2,0,0,0,0,1,-18.15,0,0,0,150.214324112,-14.15,820,71,0.275590568781,252,5
3,2008,1,1,3,0,0,0,0,0,-18.15,0,0,0,139.242675257,-14.15,820,72,0.275590568781,251,5
4,2008,1,1,4,0,0,0,0,0,-19.15,0,0,0,127.771385069,-15.15,820,73,0.275590568781,251,5
5,2008,1,1,5,0,0,0,0,0,-19.15,0,0,0,116.285946722,-15.15,821,73,0.275590568781,249,5
6,2008,1,1,6,0,0,0,0,0,-17.15,0,0,0,105.073005745,-13.15,821,73,0.314960647374,251,5
7,2008,1,1,7,0,0,0,0,0,-16.15,0,0,0,94.3905217611,-12.15,821,72,0.354330725968,252,4
8,2008,1,1,8,0,36,366,71,-15,-15.15,36,366,71,84.5399659511,-11.15,821,72,0.393700804561,254,4
9,2008,1,1,9,0,59,741,239,0,-14.15,59,741,239,75.91581068,-10.15,823,72,0.433070883155,255,3
10,2008,1,1,10,0,71,869,382,0,-13.15,71,869,382,69.0248211912,-9.15,823,71,0.433070883155,258,3
11,2008,1,1,11,0,77,924,476,0,-12.15,77,924,476,64.4568605849,-8.15,823,71,0.472440961748,259,3
12,2008,1,1,12,0,79,944,511,0,-12.15,79,944,511,62.7392233636,-7.15,823,71,0.511811040342,259,2
13,2008,1,1,13,0,76,935,484,0,-11.15,76,935,484,64.1073486265,-7.15,823,71,0.511811040342,258,2
14,2008,1,1,14,0,69,895,399,0,-11.15,69,895,399,68.3718811041,-7.15,823,71,0.551181118935,259,2
15,2008,1,1,15,0,54,806,263,0,-11.15,54,806,263,75.0270383552,-6.15,823,71,0.590551197529,264,1
16,2008,1,1,16,0,35,519,94,-15,-10.15,35,519,94,83.4803956668,-6.15,821,71,0.590551197529,276,1
17,2008,1,1,17,0,0,0,0,0,-10.15,0,0,0,93.2121606908,-5.15,821,71,0.590551197529,283,1
18,2008,1,1,18,0,0,0,0,0,-10.15,0,0,0,103.815321961,-6.15,821,71,0.590551197529,264,1
19,2008,1,1,19,0,0,0,0,0,-11.15,0,0,0,114.979667819,-6.15,821,70,0.551181118935,257,2
20,2008,1,1,20,0,0,0,0,0,-11.15,0,0,0,126.444496236,-7.15,821,69,0.511811040342,254,2
21,2008,1,1,21,0,0,0,0,0,-12.15,0,0,0,137.93067187,-7.15,823,68,0.472440961748,252,3
22,2008,1,1,22,0,0,0,0,0,-13.15,0,0,0,148.988729697,-8.15,823,68,0.433070883155,252,3
23,2008,1,1,23,0,0,0,0,0,-13.15,0,0,0,158.50033413,-8.15,821,67,0.433070883155,252,4
24,2008,1,2,0,0,0,0,0,1,-13.15,0,0,0,163.215038597,-8.15,821,67,0.433070883155,252,4
25,2008,1,2,1,0,0,0,0,1,-12.15,0,0,0,159.414847104,-7.15,821,67,0.433070883155,251,4
26,2008,1,2,2,0,0,0,0,0,-12.15,0,0,0,150.241773071,-7.15,821,67,0.433070883155,251,4
27,2008,1,2,3,0,0,0,0,1,-11.15,0,0,0,139.284132075,-6.15,821,67,0.433070883155,251,4
28,2008,1,2,4,0,0,0,0,7,-12.15,0,0,0,127.816011104,-6.15,820,67,0.433070883155,249,4
29,2008,1,2,5,0,0,0,0,7,-11.15,0,0,0,116.327986059,-6.15,820,68,0.472440961748,249,3
30,2008,1,2,6,0,0,0,0,7,-9.15,0,0,0,105.10836386,-4.15,820,70,0.551181118935,247,3
31,2008,1,2,7,0,0,0,0,7,-7.15,0,0,0,94.4154518474,-3.15,820,72,0.629921276122,245,3
32,2008,1,2,8,0,36,363,70,-15,-6.15,31,9,32,84.5504770665,-2.15,820,74,0.669291354716,242,3
33,2008,1,2,9,0,59,738,239,1,-4.15,101,159,140,75.9075002532,-1.15,820,77,0.748031511903,240,2
34,2008,1,2,10,0,71,868,382,1,-2.15,75,732,338,68.9932692777,0.85,818,80,0.82677166909,237,2
35,2008,1,2,11,0,78,923,477,0,-1.15,78,923,477,64.3989134307,1.85,818,81,0.905511826277,235,2
36,2008,1,2,12,0,79,943,512,1,-1.15,90,797,456,62.6548829518,1.85,818,81,0.94488190487,240,2
37,2008,1,2,13,0,77,933,486,7,-1.15,175,411,355,64.0006610939,1.85,817,80,1.02362206206,242,2
38,2008,1,2,14,0,70,894,401,7,-0.15,112,573,325,68.2493978125,2.85,817,80,1.10236221924,245,2
39,2008,1,2,15,0,55,807,266,7,-0.15,105,265,174,74.8951596996,2.85,815,79,1.14173229784,248,3
40,2008,1,2,16,0,35,525,96,-15,-0.15,48,126,63,83.3438314372,2.85,815,79,1.22047245502,249,3
41,2008,1,2,17,0,0,0,0,7,-0.15,0,0,0,93.0737727108,2.85,813,78,1.25984253362,251,3
42,2008,1,2,18,0,0,0,0,7,-1.15,0,0,0,103.676619675,1.85,813,76,1.14173229784,251,3
43,2008,1,2,19,0,0,0,0,6,-2.15,0,0,0,114.841214329,1.85,813,74,1.02362206206,252,4
44,2008,1,2,20,0,0,0,0,7,-3.15,0,0,0,126.30619597,0.85,813,73,0.94488190487,252,4
45,2008,1,2,21,0,0,0,0,7,-4.15,0,0,0,137.791969532,-0.15,813,71,0.82677166909,254,5
46,2008,1,2,22,0,0,0,0,7,-5.15,0,0,0,148.849332264,-0.15,812,70,0.708661433309,254,5
47,2008,1,2,23,0,0,0,0,7,-6.15,0,0,0,158.365595132,-1.15,812,68,0.629921276122,254,5
48,2008,1,3,0,0,0,0,0,7,-6.15,0,0,0,163.120732354,-1.15,812,68,0.629921276122,254,5
49,2008,1,3,1,0,0,0,0,7,-6.15,0,0,0,159.395398198,-1.15,812,68,0.629921276122,252,5
50,2008,1,3,2,0,0,0,0,7,-7.15,0,0,0,150.262840754,-2.15,812,68,0.629921276122,252,6
51,2008,1,3,3,0,0,0,0,6,-7.15,0,0,0,139.319980762,-2.15,810,68,0.590551197529,251,6
52,2008,1,3,4,0,0,0,0,6,-7.15,0,0,0,127.855296666,-2.15,810,68,0.590551197529,251,6
53,2008,1,3,5,0,0,0,0,7,-7.15,0,0,0,116.36466455,-2.15,810,69,0.590551197529,251,6
54,2008,1,3,6,0,0,0,0,6,-6.15,0,0,0,105.138159422,-1.15,810,69,0.669291354716,251,6
55,2008,1,3,7,0,0,0,0,7,-5.15,0,0,0,94.4344908769,-0.15,810,70,0.708661433309,252,5
56,2008,1,3,8,0,36,362,70,-15,-4.15,1,0,1,84.5546805416,0.85,810,70,0.748031511903,252,5
57,2008,1,3,9,0,59,739,239,6,-3.15,6,0,6,75.8924224501,1.85,810,71,0.82677166909,254,5
58,2008,1,3,10,0,71,867,383,6,-2.15,85,0,85,68.9545262472,2.85,810,71,0.866141747683,254,5
59,2008,1,3,11,0,78,923,478,6,-1.15,110,0,110,64.3335089816,3.85,810,71,0.905511826277,255,5
60,2008,1,3,12,0,80,943,514,6,-1.15,157,8,161,62.5631134304,3.85,810,71,0.94488190487,255,5
61,2008,1,3,13,0,77,934,488,6,-1.15,87,0,87,63.8869305519,3.85,809,71,0.984251983464,255,5
62,2008,1,3,14,0,70,896,404,6,-1.15,143,18,150,68.1205398457,3.85,809,71,1.02362206206,255,5
63,2008,1,3,15,0,56,809,269,7,-1.15,112,167,156,74.7576958813,3.85,809,71,1.02362206206,257,5
64,2008,1,3,16,0,35,530,98,-15,-1.15,50,63,57,83.2024501716,3.85,809,71,1.06299214065,257,5
65,2008,1,3,17,0,0,0,0,7,-1.15,0,0,0,92.9312323464,3.85,807,71,1.10236221924,257,5
66,2008,1,3,18,0,0,0,0,7,-1.15,0,0,0,103.534288153,3.85,807,71,1.06299214065,255,5
67,2008,1,3,19,0,0,0,0,4,-2.15,0,0,0,114.699489315,2.85,807,71,1.02362206206,255,6
68,2008,1,3,20,0,0,0,0,7,-3.15,0,0,0,126.164779088,1.85,807,71,0.984251983464,254,6
69,2008,1,3,21,0,0,0,0,7,-3.15,0,0,0,137.650016821,1.85,807,70,0.94488190487,254,6
