,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2005,1,1,0,0,0,0,0,7,-4.15,0,0,0,164.689617602,2.85,820,60,0.94488190487,271,4
1,2005,1,1,1,0,0,0,0,7,-4.15,0,0,0,160.315045661,2.85,820,61,0.94488190487,269,4
2,2005,1,1,2,0,0,0,0,6,-4.15,0,0,0,150.570259068,2.85,818,63,0.94488190487,269,4
3,2005,1,1,3,0,0,0,0,6,-4.15,0,0,0,139.245394696,1.85,818,64,0.984251983464,268,4
4,2005,1,1,4,0,0,0,0,7,-4.15,0,0,0,127.513016468,1.85,818,65,0.984251983464,266,4
5,2005,1,1,5,0,0,0,0,7,-4.15,0,0,0,115.808238527,1.85,818,65,0.984251983464,266,5
6,2005,1,1,6,0,0,0,0,4,-4.15,0,0,0,104.393935552,2.85,818,60,0.94488190487,264,5
7,2005,1,1,7,0,0,0,0,4,-4.15,0,0,0,93.5166912737,3.85,820,55,0.905511826277,262,5
8,2005,1,1,8,0,37,464,90,-15,-5.15,40,317,76,83.474659239,4.85,820,50,0.866141747683,261,5
9,2005,1,1,9,0,54,784,261,4,-5.15,63,629,229,74.6675167083,5.85,820,45,0.82677166909,258,6
10,2005,1,1,10,0,64,896,405,7,-6.15,70,781,367,67.62031187,6.85,820,39,0.82677166909,258,6
11,2005,1,1,11,0,68,945,498,7,-7.15,102,731,435,62.9552578708,6.85,820,36,0.787401590496,257,6
12,2005,1,1,12,0,70,962,532,8,-7.15,91,807,479,61.2352670542,6.85,821,36,0.787401590496,258,6
13,2005,1,1,13,0,67,954,505,0,-7.15,67,954,505,62.7083652645,6.85,821,37,0.787401590496,259,5
14,2005,1,1,14,0,60,921,418,0,-6.15,60,921,418,67.1606572328,6.85,821,38,0.787401590496,262,5
15,2005,1,1,15,0,48,847,281,0,-6.15,48,847,281,74.0443443304,6.85,821,38,0.787401590496,264,4
16,2005,1,1,16,0,32,621,111,-15,-7.15,32,621,111,82.734330758,6.85,821,39,0.787401590496,266,4
17,2005,1,1,17,0,0,0,0,7,-6.15,0,0,0,92.6954703328,6.85,821,40,0.787401590496,269,4
18,2005,1,1,18,0,0,0,0,7,-6.15,0,0,0,103.518639062,5.85,823,45,0.82677166909,272,4
19,2005,1,1,19,0,0,0,0,7,-5.15,0,0,0,114.899078223,4.85,823,49,0.82677166909,275,4
20,2005,1,1,20,0,0,0,0,1,-5.15,0,0,0,126.587526293,3.85,824,54,0.866141747683,276,4
21,2005,1,1,21,0,0,0,0,1,-5.15,0,0,0,138.324664974,2.85,824,58,0.905511826277,279,4
22,2005,1,1,22,0,0,0,0,7,-5.15,0,0,0,149.696535417,1.85,824,63,0.94488190487,282,4
23,2005,1,1,23,0,0,0,0,7,-4.15,0,0,0,159.625482624,0.85,826,66,0.94488190487,285,4
24,2005,1,2,0,0,0,0,0,7,-4.15,0,0,0,164.598925178,0.85,826,67,0.94488190487,285,4
25,2005,1,2,1,0,0,0,0,7,-5.15,0,0,0,160.30585698,0.85,826,67,0.94488190487,285,4
26,2005,1,2,2,0,0,0,0,7,-5.15,0,0,0,150.599962008,0.85,826,67,0.94488190487,285,4
27,2005,1,2,3,0,0,0,0,7,-5.15,0,0,0,139.288011075,-0.15,826,68,0.94488190487,285,3
28,2005,1,2,4,0,0,0,0,4,-5.15,0,0,0,127.557969908,-0.15,826,68,0.905511826277,285,3
29,2005,1,2,5,0,0,0,0,7,-5.15,0,0,0,115.849959349,-0.15,826,68,0.905511826277,285,3
30,2005,1,2,6,0,0,0,0,7,-5.15,0,0,0,104.428404351,0.85,826,66,0.94488190487,283,2
31,2005,1,2,7,0,0,0,0,7,-5.15,0,0,0,93.5401522326,0.85,826,64,0.94488190487,281,2
32,2005,1,2,8,0,37,460,89,-15,-4.15,39,26,42,83.4830359654,1.85,826,63,0.94488190487,274,1
33,2005,1,2,9,0,54,780,261,6,-4.15,105,47,117,74.6562449671,2.85,826,61,0.984251983464,162,1
34,2005,1,2,10,0,64,892,404,7,-4.15,168,86,201,67.58477395,2.85,826,59,0.984251983464,154,2
35,2005,1,2,11,0,68,941,497,7,-4.15,81,819,454,62.8922090281,3.85,826,58,0.984251983464,149,2
36,2005,1,2,12,0,69,958,531,7,-4.15,85,829,485,61.1449608738,3.85,826,58,0.984251983464,142,2
37,2005,1,2,13,0,67,951,505,6,-4.15,215,184,299,62.5954901512,3.85,826,59,1.02362206206,135,2
38,2005,1,2,14,0,61,917,419,7,-4.15,176,137,230,67.0324573789,3.85,824,59,1.02362206206,130,2
39,2005,1,2,15,0,47,844,281,7,-4.15,94,423,212,73.9076150304,3.85,824,60,1.02362206206,128,2
40,2005,1,2,16,0,12,767,111,-15,-3.15,39,346,84,82.5938557175,3.85,824,60,1.02362206206,125,2
41,2005,1,2,17,0,0,0,0,7,-3.15,0,0,0,92.5540144058,3.85,824,61,1.02362206206,122,2
42,2005,1,2,18,0,0,0,0,7,-3.15,0,0,0,103.377550894,2.85,824,63,1.02362206206,113,2
43,2005,1,2,19,0,0,0,0,4,-3.15,0,0,0,114.758741691,2.85,824,65,1.02362206206,96,2
44,2005,1,2,20,0,0,0,0,0,-3.15,0,0,0,126.44762727,1.85,824,67,1.02362206206,191,2
45,2005,1,2,21,0,0,0,0,7,-3.15,0,0,0,138.184289974,1.85,824,69,1.02362206206,315,2
46,2005,1,2,22,0,0,0,0,7,-3.15,0,0,0,149.554586831,0.85,824,71,1.02362206206,303,2
47,2005,1,2,23,0,0,0,0,7,-3.15,0,0,0,159.485574562,0.85,824,73,1.02362206206,298,3
48,2005,1,3,0,0,0,0,0,7,-3.15,0,0,0,164.50008291,0.85,824,73,1.02362206206,292,3
49,2005,1,3,1,0,0,0,0,4,-4.15,0,0,0,160.288879824,-0.15,824,74,0.984251983464,288,3
50,2005,1,3,2,0,0,0,0,7,-4.15,0,0,0,150.623453937,-0.15,824,74,0.984251983464,283,3
51,2005,1,3,3,0,0,0,0,4,-4.15,0,0,0,139.325167606,-0.15,826,74,0.984251983464,279,3
52,2005,1,3,4,0,0,0,0,4,-4.15,0,0,0,127.597701049,-0.15,826,74,0.984251983464,276,3
53,2005,1,3,5,0,0,0,0,4,-4.15,0,0,0,115.886414851,-0.15,826,73,0.984251983464,274,3
54,2005,1,3,6,0,0,0,0,4,-4.15,0,0,0,104.457389798,0.85,826,69,0.984251983464,271,3
55,2005,1,3,7,0,0,0,0,4,-4.15,0,0,0,93.557788479,1.85,826,65,0.984251983464,266,3
