,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2005,1,1,0,0,0,0,0,7,-5.15,0,0,0,162.475903399,2.85,801,57,1.02362206206,269,3
1,2005,1,1,1,0,0,0,0,7,-5.15,0,0,0,158.886657927,2.85,801,58,0.984251983464,272,4
2,2005,1,1,2,0,0,0,0,4,-5.15,0,0,0,149.983379811,2.85,801,58,0.984251983464,274,4
3,2005,1,1,3,0,0,0,0,7,-5.15,0,0,0,139.216200741,1.85,801,59,0.984251983464,275,4
4,2005,1,1,4,0,0,0,0,4,-5.15,0,0,0,127.89137985,1.85,801,60,0.94488190487,276,4
5,2005,1,1,5,0,0,0,0,4,-5.15,0,0,0,116.524221668,1.85,801,60,0.94488190487,278,4
6,2005,1,1,6,0,0,0,0,1,-6.15,0,0,0,105.415606812,1.85,801,57,0.905511826277,272,4
7,2005,1,1,7,0,0,0,0,1,-6.15,0,0,0,94.8301215007,2.85,801,54,0.905511826277,268,4
8,2005,1,1,8,0,25,446,64,-15,-6.15,25,446,64,84.9435476831,2.85,802,50,0.866141747683,262,4
9,2005,1,1,9,0,49,766,228,0,-7.15,49,766,228,76.4780720734,3.85,802,46,0.82677166909,258,5
10,2005,1,1,10,0,61,880,367,0,-7.15,61,880,367,69.6711586668,4.85,802,43,0.787401590496,254,5
11,2005,1,1,11,0,68,930,458,1,-8.15,72,821,418,65.1439871243,4.85,804,39,0.787401590496,249,5
12,2005,1,1,12,0,70,945,493,1,-8.15,91,773,437,63.4150651451,4.85,804,40,0.748031511903,247,4
13,2005,1,1,13,0,68,934,467,1,-8.15,68,857,434,64.7172403602,4.85,804,41,0.748031511903,244,4
14,2005,1,1,14,0,62,890,384,1,-8.15,61,810,353,68.8731163477,3.85,804,42,0.748031511903,238,3
15,2005,1,1,15,0,51,790,251,1,-8.15,51,707,230,75.3918380964,3.85,806,42,0.748031511903,231,3
16,2005,1,1,16,0,30,522,87,-15,-8.15,33,422,80,83.6631645307,3.85,806,43,0.748031511903,221,3
17,2005,1,1,17,0,0,0,0,0,-8.15,0,0,0,93.3808763372,2.85,806,43,0.708661433309,201,2
18,2005,1,1,18,0,0,0,0,0,-8.15,0,0,0,103.867975929,2.85,807,46,0.708661433309,218,2
19,2005,1,1,19,0,0,0,0,0,-8.15,0,0,0,114.917090074,1.85,807,48,0.708661433309,227,2
20,2005,1,1,20,0,0,0,0,1,-9.15,0,0,0,126.260951258,0.85,807,51,0.708661433309,234,3
21,2005,1,1,21,0,0,0,0,0,-8.15,0,0,0,137.609375047,-0.15,809,53,0.708661433309,240,3
22,2005,1,1,22,0,0,0,0,0,-9.15,0,0,0,148.494443198,-1.15,809,55,0.708661433309,245,3
23,2005,1,1,23,0,0,0,0,0,-9.15,0,0,0,157.783989853,-1.15,809,57,0.708661433309,248,3
24,2005,1,2,0,0,0,0,0,0,-9.15,0,0,0,162.383472579,-2.15,809,57,0.708661433309,252,3
25,2005,1,2,1,0,0,0,0,1,-9.15,0,0,0,158.865657303,-2.15,809,57,0.669291354716,257,3
26,2005,1,2,2,0,0,0,0,1,-10.15,0,0,0,150.002719397,-2.15,809,56,0.669291354716,262,3
27,2005,1,2,3,0,0,0,0,1,-10.15,0,0,0,139.2508438,-2.15,809,56,0.669291354716,266,3
28,2005,1,2,4,0,0,0,0,8,-10.15,0,0,0,127.929883248,-2.15,809,56,0.629921276122,271,3
29,2005,1,2,5,0,0,0,0,4,-10.15,0,0,0,116.560436283,-2.15,809,55,0.629921276122,276,3
30,2005,1,2,6,0,0,0,0,7,-10.15,0,0,0,105.445203449,-2.15,809,54,0.669291354716,276,3
