,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2012,1,1,0,0,0,0,0,0,-11.15,0,0,0,163.298418428,-3.15,831,59,0.551181118935,237,4
1,2012,1,1,1,0,0,0,0,7,-11.15,0,0,0,159.424648667,-3.15,831,58,0.551181118935,240,4
2,2012,1,1,2,0,0,0,0,7,-11.15,0,0,0,150.213280616,-3.15,831,57,0.551181118935,242,4
3,2012,1,1,3,0,0,0,0,7,-11.15,0,0,0,139.241930703,-3.15,831,55,0.511811040342,245,4
4,2012,1,1,4,0,0,0,0,7,-11.15,0,0,0,127.770708838,-3.15,831,55,0.511811040342,248,5
5,2012,1,1,5,0,0,0,0,4,-11.15,0,0,0,116.285209649,-3.15,831,54,0.511811040342,251,4
6,2012,1,1,6,0,0,0,0,4,-10.15,0,0,0,105.072118426,-2.15,832,54,0.551181118935,252,3
7,2012,1,1,7,0,0,0,0,7,-10.15,0,0,0,94.389409263,-2.15,832,54,0.590551197529,255,3
8,2012,1,1,8,0,35,383,71,-15,-9.15,36,250,60,84.5385533266,-1.15,832,54,0.629921276122,271,2
9,2012,1,1,9,0,53,752,236,4,-8.15,60,602,207,75.9140427446,-0.15,834,53,0.669291354716,159,2
10,2012,1,1,10,0,64,874,377,4,-7.15,67,762,340,69.0226535464,0.85,834,53,0.708661433309,183,2
11,2012,1,1,11,0,69,927,469,0,-7.15,69,927,469,64.4542992605,1.85,835,53,0.748031511903,184,2
12,2012,1,1,12,0,71,946,504,0,-7.15,71,946,504,62.7363481552,1.85,835,54,0.787401590496,181,2
13,2012,1,1,13,0,68,938,477,0,-7.15,68,938,477,64.1043007684,1.85,835,55,0.787401590496,173,1
14,2012,1,1,14,0,62,901,394,1,-6.15,120,513,309,68.3688082739,1.85,835,55,0.82677166909,156,1
15,2012,1,1,15,0,48,821,260,0,-6.15,48,821,260,75.0240445338,1.85,835,56,0.82677166909,145,1
16,2012,1,1,16,0,31,566,96,-15,-6.15,31,566,96,83.4775290941,0.85,835,57,0.866141747683,143,1
17,2012,1,1,17,0,0,0,0,0,-6.15,0,0,0,93.2094371889,0.85,835,58,0.866141747683,149,1
18,2012,1,1,18,0,0,0,0,4,-7.15,0,0,0,103.812721168,0.85,835,58,0.82677166909,167,1
19,2012,1,1,19,0,0,0,0,0,-6.15,0,0,0,114.977156478,0.85,835,59,0.82677166909,206,1
20,2012,1,1,20,0,0,0,0,0,-7.15,0,0,0,126.442023188,-0.15,837,59,0.787401590496,228,2
21,2012,1,1,21,0,0,0,0,0,-7.15,0,0,0,137.928157494,-0.15,837,60,0.748031511903,237,2
22,2012,1,1,22,0,0,0,0,0,-8.15,0,0,0,148.986043748,-1.15,837,60,0.748031511903,241,3
23,2012,1,1,23,0,0,0,0,1,-8.15,0,0,0,158.497310921,-1.15,837,61,0.708661433309,244,3
24,2012,1,2,0,0,0,0,0,0,-8.15,0,0,0,163.21200236,-1.15,837,61,0.708661433309,244,3
25,2012,1,2,1,0,0,0,0,0,-7.15,0,0,0,159.412836926,-1.15,837,61,0.748031511903,245,3
26,2012,1,2,2,0,0,0,0,0,-7.15,0,0,0,150.240543845,-1.15,837,61,0.748031511903,245,3
27,2012,1,2,3,0,0,0,0,0,-7.15,0,0,0,139.283221406,-1.15,837,61,0.748031511903,245,3
28,2012,1,2,4,0,0,0,0,0,-7.15,0,0,0,127.815175413,-1.15,837,61,0.748031511903,245,3
29,2012,1,2,5,0,0,0,0,0,-7.15,0,0,0,116.327088468,-1.15,837,61,0.748031511903,245,3
30,2012,1,2,6,0,0,0,0,1,-6.15,0,0,0,105.107309992,0.85,837,61,0.787401590496,245,3
31,2012,1,2,7,0,0,0,0,1,-5.15,0,0,0,94.4141632452,1.85,837,60,0.82677166909,244,3
32,2012,1,2,8,0,34,375,70,-15,-5.15,34,375,70,84.5488763438,2.85,837,59,0.866141747683,244,3
33,2012,1,2,9,0,53,743,234,-1,-4.15,53,743,234,75.9055311504,3.85,835,58,0.905511826277,244,2
34,2012,1,2,10,0,64,866,374,1,-3.15,60,826,357,68.990888731,4.85,835,58,0.94488190487,244,2
35,2012,1,2,11,0,69,919,466,0,-2.15,69,919,466,64.3961325645,5.85,835,57,0.984251983464,244,2
36,2012,1,2,12,0,70,938,501,0,-2.15,70,938,501,62.6517907709,5.85,835,58,1.02362206206,244,3
37,2012,1,2,13,0,68,929,476,0,-2.15,68,929,476,63.9974096625,5.85,834,58,1.02362206206,245,3
38,2012,1,2,14,0,61,893,392,0,-1.15,61,893,392,68.2461429081,6.85,834,59,1.06299214065,247,3
39,2012,1,2,15,0,48,813,260,0,-1.15,48,813,260,74.8920083316,6.85,834,60,1.10236221924,247,4
40,2012,1,2,16,0,31,560,96,-15,-1.15,31,560,96,83.340830713,6.85,832,60,1.14173229784,248,4
41,2012,1,2,17,0,0,0,0,0,-1.15,0,0,0,93.0709348595,6.85,832,60,1.14173229784,248,4
42,2012,1,2,18,0,0,0,0,0,-2.15,0,0,0,103.673920003,5.85,832,58,1.06299214065,248,5
43,2012,1,2,19,0,0,0,0,0,-2.15,0,0,0,114.838614573,5.85,831,56,0.984251983464,247,5
44,2012,1,2,20,0,0,0,0,1,-3.15,0,0,0,126.303638942,5.85,831,55,0.905511826277,247,5
45,2012,1,2,21,0,0,0,0,1,-4.15,0,0,0,137.789367142,4.85,831,53,0.82677166909,245,6
46,2012,1,2,22,0,0,0,0,7,-5.15,0,0,0,148.846540001,4.85,831,51,0.748031511903,245,6
