,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2005,1,1,0,0,0,0,0,8,-4.15,0,0,0,162.909988358,0.85,782,67,1.06299214065,252,5
1,2005,1,1,1,0,0,0,0,7,-5.15,0,0,0,159.288263831,0.85,782,66,1.02362206206,252,5
2,2005,1,1,2,0,0,0,0,4,-5.15,0,0,0,150.262162413,0.85,782,66,0.984251983464,254,5
3,2005,1,1,3,0,0,0,0,7,-5.15,0,0,0,139.394126184,-0.15,782,65,0.984251983464,255,5
4,2005,1,1,4,0,0,0,0,4,-6.15,0,0,0,127.988157895,-0.15,782,65,0.94488190487,255,5
5,2005,1,1,5,0,0,0,0,4,-6.15,0,0,0,116.549385757,-0.15,782,64,0.905511826277,257,5
6,2005,1,1,6,0,0,0,0,4,-6.15,0,0,0,105.372295903,-0.15,782,61,0.905511826277,258,5
7,2005,1,1,7,0,0,0,0,4,-7.15,0,0,0,94.7176237026,0.85,782,58,0.866141747683,258,5
8,2005,1,1,8,0,25,469,68,-15,-7.15,30,283,56,84.7639871726,1.85,782,55,0.866141747683,258,5
9,2005,1,1,9,0,48,781,235,4,-7.15,68,525,193,76.2207093987,1.85,783,52,0.82677166909,259,4
10,2005,1,1,10,0,60,892,375,3,-7.15,80,692,324,69.3396218016,2.85,783,49,0.787401590496,259,4
11,2005,1,1,11,0,66,941,468,1,-8.15,64,883,440,64.7485082205,2.85,783,45,0.787401590496,261,4
12,2005,1,1,12,0,68,956,503,3,-8.15,95,768,444,62.977803816,2.85,783,46,0.787401590496,259,4
13,2005,1,1,13,0,67,945,477,1,-8.15,64,937,471,64.2691124436,2.85,785,47,0.748031511903,259,4
14,2005,1,1,14,0,61,903,394,1,-8.15,63,806,359,68.4439436429,1.85,785,47,0.748031511903,259,3
15,2005,1,1,15,0,51,807,260,3,-8.15,86,441,200,75.0028039953,1.85,785,48,0.748031511903,261,3
16,2005,1,1,16,0,30,551,94,-15,-8.15,40,273,72,83.3287114797,1.85,785,49,0.748031511903,264,2
17,2005,1,1,17,0,0,0,0,0,-9.15,0,0,0,93.0958492302,0.85,787,49,0.748031511903,153,2
18,2005,1,1,18,0,0,0,0,0,-8.15,0,0,0,103.641198306,0.85,787,52,0.748031511903,264,2
19,2005,1,1,19,0,0,0,0,0,-8.15,0,0,0,114.751941939,-0.15,787,55,0.748031511903,261,3
20,2005,1,1,20,0,0,0,0,1,-9.15,0,0,0,126.164066312,-1.15,788,57,0.708661433309,261,3
21,2005,1,1,21,0,0,0,0,0,-9.15,0,0,0,137.594488105,-2.15,788,59,0.708661433309,261,3
22,2005,1,1,22,0,0,0,0,1,-9.15,0,0,0,148.590023822,-3.15,788,62,0.708661433309,261,3
23,2005,1,1,23,0,0,0,0,0,-9.15,0,0,0,158.043312195,-3.15,790,65,0.708661433309,262,4
24,2005,1,2,0,0,0,0,0,0,-10.15,0,0,0,162.816847501,-4.15,790,64,0.669291354716,262,4
25,2005,1,2,1,0,0,0,0,0,-10.15,0,0,0,159.268608306,-4.15,790,64,0.669291354716,264,4
26,2005,1,2,2,0,0,0,0,0,-10.15,0,0,0,150.283197813,-4.15,790,63,0.669291354716,264,4
27,2005,1,2,3,0,0,0,0,1,-10.15,0,0,0,139.430255391,-4.15,790,63,0.629921276122,265,4
28,2005,1,2,4,0,0,0,0,4,-10.15,0,0,0,128.027959845,-4.15,790,62,0.629921276122,265,4
29,2005,1,2,5,0,0,0,0,8,-11.15,0,0,0,116.586778217,-4.15,790,61,0.590551197529,266,4
30,2005,1,2,6,0,0,0,0,7,-10.15,0,0,0,105.402996924,-3.15,790,60,0.629921276122,268,3
31,2005,1,2,7,0,0,0,0,7,-10.15,0,0,0,94.7377751425,-2.15,790,58,0.669291354716,272,3
32,2005,1,2,8,0,25,466,68,-15,-9.15,30,294,57,84.7694399526,-2.15,790,57,0.708661433309,281,2
33,2005,1,2,9,0,48,778,234,7,-9.15,66,542,195,76.2073136706,-1.15,790,55,0.748031511903,292,2
34,2005,1,2,10,0,60,889,375,7,-8.15,97,608,312,69.3028882753,-0.15,790,54,0.787401590496,125,2
35,2005,1,2,11,0,66,938,468,7,-8.15,155,491,365,64.6854141883,0.85,790,52,0.787401590496,132,2
36,2005,1,2,12,0,69,953,503,7,-8.15,189,386,365,62.8885218602,0.85,790,52,0.82677166909,133,2
37,2005,1,2,13,0,67,942,478,7,-8.15,199,246,306,64.1578448514,0.85,790,53,0.82677166909,133,2
38,2005,1,2,14,0,62,900,394,7,-7.15,163,228,247,68.3173710568,0.85,790,53,0.82677166909,133,2
39,2005,1,2,15,0,51,804,261,7,-8.15,108,206,162,74.8675089886,0.85,790,54,0.82677166909,132,2
